oldcode,state,povrate60,mort_age59_related_postHS,mort_age59_injury_postHS,mort_age59_all_postHS,mort_age25plus_related_postHS,mort_age25plus_injuries_postHS,mort_age59_related_preHS,mort_wh_age59_related_postHS,mort_bl_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack,census1990_pop,census1990_pop1824,census1990_pop2534,census1990_pop3554,census1990_pop55plus,census1990_pcturban,census1990_pctblack,census1990_percapinc
1019,1,51.69877,0,47.26791,56.7215,96.00534,151.6606,13.72872,0,0,11428,87.4,0.578692,21.1,855,5153,5575,0,36.2,11063,0.090753,0.1655066,0.2339329,0.2499322,0,0.341317907,9234
1020,1,46.30926,3.401823,17.00912,47.62553,125.3179,109.7555,9.408223,4.261485,0,36577,84.8,0.5443141,21.8,2812,16022,19802,52.8,16.1,36478,0.083475,0.1440046,0.2392401,0.2771533,0,0.131257196,9315
1021,1,64.90812,8.393487,67.1479,75.54138,164.3061,167.5923,0,0,25.01251,15190,83.3,0.5841672,19.2,1228,6796,7942,0,31.1,13635,0.0880821,0.129813,0.2354235,0.2799413,0,0.26043271,8848
1022,1,48.08134,3.77779,20.77785,37.7779,105.6459,90.517,3.528084,3.8334,0,46017,86.1,0.5467485,17.6,3739,21990,24091,23.9,1.1,67613,0.100247,0.1523376,0.2529395,0.2441394,0,0.008400751,10447
1023,1,40.67883,0,23.98238,32.70325,74.86614,97.2084,5.041339,0,0,31527,84,0.4217961,35.8,2001,16636,14871,30.7,17.6,49633,0.1315455,0.1999073,0.2250116,0.1645679,0.06507767,0.177442427,10580
1024,1,58.20935,3.452025,24.16418,48.32836,150.3464,123.7589,4.741584,0,5.485915,56866,85.8,0.5587392,32.6,4399,28618,26481,50.1,57.7,48130,0.0964263,0.1467068,0.2222938,0.2214835,0,0.578599626,8344
1025,1,49.62872,0,32.5168,47.69131,94.15719,95.64702,8.028259,0,0,42292,80.3,0.5314555,17.5,3307,19313,22534,17,2,54651,0.0965582,0.1497136,0.2541765,0.2453935,0,0.018645588,9604
1026,1,47.93242,0,31.42184,36.65881,117.1619,123.7571,5.038291,0,0,30189,86.2,0.527797,25.2,2396,14426,15796,22.4,33.7,49210,0.0969112,0.1774436,0.2608413,0.2004471,0.013919935,0.224466572,10677
1027,1,47.24581,0,13.78892,16.5467,132.4708,121.7531,22.12194,0,0,33848,87.3,0.5211267,25,2743,16756,16691,50.7,32.7,35518,0.098626,0.1526832,0.251084,0.2304747,0,0.281237682,8858
1028,1,35.82675,0,13.68457,28.50952,120.2217,107.6954,9.414423,0,0,98606,86.1,0.5324144,28.9,7033,46646,51879,71.1,15.4,99840,0.0966647,0.143109,0.2533253,0.2613381,0.715655048,0.138852164,10997
1029,1,52.51355,0,25.12247,50.24495,133.9812,124.6534,10.30078,0,0,16141,82.9,0.5531051,20.9,1314,7391,8889,26.2,15.9,17962,0.0963144,0.1410756,0.2529785,0.2557622,0,0.122814831,9864
1030,1,49.874,0,34.29943,51.44915,130.6476,125.6863,0,0,0,22363,85,0.5192474,20.6,1795,10417,12071,30.1,5.6,27814,0.0951679,0.1453585,0.2531459,0.2591501,0,0.045696412,9049
1031,1,53.8095,4.756243,23.78121,42.80618,150.1974,128.5533,7.168459,5.866135,0,22899,78.4,0.501713,21.1,1883,10508,12003,17.2,15.1,23647,0.0955724,0.1357043,0.2481076,0.2706051,0,0.119127162,9768
1032,1,77.78582,8.958165,17.91633,35.83266,140.3928,169.4396,0,0,10.46572,13863,90.4,0.6257978,17.4,1216,6737,6143,20.5,81.3,10153,0.0826357,0.1341475,0.2036836,0.2449522,0,0.805476214,6306
1033,1,70.75676,0,0,33.07972,119.1685,115.8582,6.44496,0,0,20524,86.3,0.6048699,18.3,1683,9569,8818,15.8,70.7,15498,0.089818,0.1422119,0.2126726,0.2415796,0,0.592979739,8164
1034,1,64.05679,7.293946,14.58789,36.46973,112.6449,133.8987,0,0,15.33272,15859,83.5,0.5807015,19.1,1408,7441,7711,33.8,45.6,15374,0.0852088,0.1398465,0.2442435,0.2619357,0,0.350721998,9909
1035,1,46.03269,2.87472,27.30984,43.1208,85.68086,98.77716,8.790436,2.025029,5.099439,50661,86.4,0.5607103,29.4,3843,24724,26560,62,27.3,81331,0.0934822,0.1596562,0.255536,0.2137684,0.68575328,0.232309943,12118
1036,1,52.10014,4.361479,23.98814,45.79553,110.1682,110.822,16.07976,4.627059,0,37443,82.2,0.5074806,17.4,3121,18314,18688,25.5,6.1,47796,0.0962005,0.1514143,0.2710059,0.2229684,0,0.041007616,10144
1037,1,30.84088,1.47832,18.10942,33.44698,124.422,102.6949,3.560848,1.832095,0.9435253,636496,85.5,0.5022791,36.8,40993,301432,341992,84.6,34.6,651525,0.0971874,0.1684878,0.252922,0.2319926,0.874787614,0.350235217,13277
1038,1,46.94554,0,34.31474,34.31474,124.365,126.2783,0,0,0,14507,76.4,0.4951769,17.9,1126,6531,7903,0,14.7,15715,0.0975501,0.1459115,0.2488069,0.2540248,0,0.11842189,9945
1039,1,35.30011,6.041292,12.08258,27.18582,86.96279,84.07777,4.951476,6.912761,0,61690,83.4,0.5242416,32.7,4326,30526,31681,51.4,11.8,79661,0.1149496,0.1521071,0.2525075,0.2410715,0.509396066,0.095906403,11685
1040,1,56.77119,6.578948,29.60526,52.63158,114.2256,135.7136,11.41162,8.456302,0,24916,79.6,0.5270837,17.8,2186,12406,11850,0,22.3,31513,0.1077968,0.1629486,0.2492622,0.2065179,0,0.151937296,9800
1041,1,42.51073,1.766098,28.25757,42.38635,84.78203,90.3985,10.002,0,5.034739,50395,83.6,0.6176995,35.9,3483,28046,21898,64.2,36.6,87146,0.2569022,0.1591008,0.2143185,0.1485094,0.674419939,0.234939068,11409
1042,1,49.06786,0,21.53213,31.10197,103.7356,95.75591,0,0,0,37489,80.5,0.5224203,23.9,2949,18510,17961,25.6,20.9,54135,0.1036113,0.1843539,0.2585019,0.2013115,0.001034451,0.130174564,11696
1043,1,76.94733,6.385696,44.69987,63.85696,109.1091,175.4593,15.12402,0,7.572316,15883,85,0.6157722,18.6,1472,7938,6332,0,80.7,12658,0.1015168,0.1437036,0.2025596,0.2021646,0,0.746958445,6848
1044,1,60.51723,4.325634,17.30253,25.9538,191.0551,128.2608,5.73921,0,4.996003,27413,87.9,0.6570048,29.5,2091,13041,13277,13.3,83.4,24928,0.1824856,0.122553,0.2006178,0.2287789,0,0.859314827,7534
1045,1,29.39149,2.847008,11.95743,25.05367,71.27055,86.70113,7.385524,2.978007,2.534533,119011,82.7,0.4666773,43,7429,62645,57301,63.9,18.7,238912,0.113862,0.1997388,0.26213,0.1779651,0.755068812,0.201341917,15443
1046,1,63.18445,0,19.7449,23.69387,121.4545,139.195,9.518371,0,0,28284,84.8,0.5897359,23.6,2215,13367,12827,36.5,62.1,23084,0.0874632,0.143606,0.2280367,0.237004,0,0.50905389,9242
1047,1,52.7599,3.831711,22.99027,34.4854,143.6275,128.8965,0,3.949291,0,22215,84.5,0.5327075,19.1,1830,10120,12139,13.3,3.3,29830,0.1006034,0.1435132,0.2578277,0.2511901,0,0.030942005,9645
1048,1,41.13768,1.773647,24.83106,35.47294,109.6294,112.5528,3.220612,1.813565,0,48054,83.2,0.5023446,23.8,3532,23458,25327,46.8,2.3,70832,0.0935312,0.1542664,0.2597978,0.2449317,0,0.0152897,10793
1049,1,31.98251,2.105675,23.46323,44.51998,108.9931,107.432,6.664356,1.933581,2.44091,317383,87.9,0.5209659,37.9,21808,157446,156735,86.1,32.1,378643,0.1019166,0.1648096,0.2478192,0.2007564,0.795464329,0.31115325,11158
1050,1,62.36896,0,21.50168,38.70302,115.6087,142.7651,5.831584,0,0,22996,85.8,0.5846648,21.8,1972,11203,10613,16.2,50.6,23968,0.0983812,0.1473214,0.2298481,0.2164553,0,0.390562417,9299
1051,1,36.75657,5.037925,13.43447,41.42294,103.9302,100.2184,7.936508,4.290556,5.934648,169937,88,0.5125842,44.7,10817,83875,86486,84.4,38.1,209085,0.110314,0.16973,0.24689,0.1973169,0.906420834,0.417136571,12806
1052,1,36.46137,3.695673,22.17404,38.18863,97.94962,99.22405,2.487562,2.830656,9.655306,61621,82.8,0.4776563,32.8,4076,29270,32151,56.6,12.6,100043,0.0937697,0.1695071,0.2695941,0.2077707,0.634677089,0.099587178,12830
1053,1,75.13681,6.637462,46.46223,66.37462,142.0065,158.7131,30.92146,0,9.10498,17295,85.4,0.5971812,22.2,1558,8798,7902,21.9,65.7,12759,0.1210126,0.1190532,0.1999373,0.2416334,0,0.642056588,6879
1054,1,58.91557,0,4.956629,9.913259,111.7658,108.7246,6.310741,0,0,21988,87.1,0.5614943,21.6,1839,10627,10721,14.6,44.7,20699,0.0869607,0.1366733,0.2264361,0.2631528,0,0.420793275,8564
1055,1,61.9207,0,4.356919,21.78459,98.39752,130.9837,0,0,0,26377,85.9,0.6146927,24.8,2134,12564,13048,49.1,41.3,27595,0.1791629,0.1333937,0.211705,0.224461,0,0.347128103,9423
1056,1,50.72083,0,34.04062,56.73437,131.6401,139.5228,17.32502,0,0,19928,79.8,0.5298321,20,1492,8816,10738,27.1,25.5,19881,0.0945626,0.1446607,0.2322821,0.2673407,0,0.236507218,9092
1057,1,49.99789,2.201625,28.62112,52.839,113.674,131.6225,8.868393,4.348015,0,47610,82.5,0.5253862,17.2,3719,23950,21947,59.6,49.4,46860,0.0999573,0.1621639,0.248933,0.2221084,0.646521554,0.385403329,9675
1058,1,44.42008,2.712085,27.12085,35.25711,98.97971,118.191,0,3.124121,0,25365,85.4,0.5544004,18,2084,12408,13080,17.7,16.8,50009,0.0951229,0.1648503,0.2642524,0.2092023,0,0.090663681,10596
1059,1,45.08377,0,19.08993,36.44441,73.12179,91.80846,9.442871,0,0,32694,82.7,0.5486501,23.2,2509,16187,15959,8.6,18.9,99358,0.1016425,0.1941565,0.2849292,0.1442964,0.52091427,0.076581654,16237
1060,1,73.84322,0,11.76125,35.28374,172.8198,155.5378,0,0,0,20880,93.9,0.6540004,20.2,1702,9974,8998,14.6,76.3,16174,0.1412143,0.1374428,0.1931495,0.2230122,0,0.70223816,8031
1061,1,45.34272,4.208164,22.44354,36.47075,117.1034,114.0648,12.90323,2.31841,7.139033,66629,88.2,0.5513483,27.7,5445,33302,31941,54.2,32,74107,0.1004628,0.1508359,0.2520005,0.2191156,0.014155208,0.307892642,9700
1062,1,40.67229,0,37.03704,45.58405,133.8115,121.4597,0,0,0,34656,82.4,0.5234769,24.7,2573,16463,18755,51,28.9,38826,0.0939834,0.1396744,0.2485448,0.2598259,0,0.26299387,10878
1063,1,40.56952,3.666731,19.25034,30.25053,104.6008,91.60608,11.61541,4.235852,2.638035,110215,82.9,0.548741,34,7037,55682,55466,70.4,28.7,150522,0.1700549,0.1572328,0.235547,0.1982434,0.704873706,0.259403941,11406
1064,1,44.65673,0,16.56617,33.13233,135.8907,122.702,2.865658,0,0,55467,67,0.5510456,20.5,4434,25918,28718,25.8,10.3,67670,0.0955519,0.1501847,0.2576622,0.2426629,0,0.064223437,10105
1065,1,54.22368,0,32.99604,49.49406,102.0871,127.8667,0,0,0,16529,86.1,0.5671735,19.9,1428,7957,6871,0,32.7,16694,0.0978196,0.148137,0.2432012,0.2052833,0,0.276985743,8340
1066,1,78.65428,6.123699,55.11329,79.60809,152.9932,179.92,12.58812,0,7.917029,18691,85.5,0.6295017,20.3,1933,9552,8086,0,77.9,13568,0.0943396,0.1292011,0.1983343,0.241082,0,0.689121462,6552
1067,1,50.54373,0,20.90957,47.04652,118.5806,131.0242,0,0,0,15273,77.5,0.5073795,18.6,1304,7182,7965,25.2,0.5,22053,0.0993969,0.1485966,0.264091,0.2423707,0,0.002403301,9349
2001,2,28.93401,,,,,,0,,,1612,,,,,,,,,2464,0.1623377,0.275974,0.2739448,0.0714286,0,0.002840909,17242
2003,2,15.29646,,,,,,0,,,4051,,,,,,,,,226338,0.102802,0.2156995,0.299256,0.0888097,0.97970734,0.063670263,19620
2006,2,25.46012,,,,,,0,,,2986,,,,,,,,,4012,0.0892323,0.1904287,0.2427717,0.1049352,0,0.000498505,12782
2007,2,20.98931,,,,,,0,,,1745,,,,,,,,,77720,0.1316907,0.2172414,0.2630983,0.0766341,0,0.070715389,15914
2008,2,22.27682,,,,,,0,,,2846,,,,,,,,,2117,0.0604629,0.1686349,0.3330184,0.1563533,0,0.000944733,16204
2009,2,21.14061,,,,,,0,,,5249,,,,,,,,,26751,0.0784644,0.1913573,0.3310157,0.1044821,0,0.010317371,19920
2012,2,30.23455,,,,,,0,,,6222,,,,,,,,,13309,0.1070704,0.2313472,0.2816891,0.0721316,0,0.007739124,19979
2013,2,18.523,,,,,,0,,,7269,,,,,,,,,1668,0.0839329,0.2110312,0.2176259,0.1133094,0,0,11560
2014,2,28.65109,,,,,,23.34267,,,6097,,,,,,,,,39683,0.0622937,0.1789431,0.3036817,0.1080563,0,0.006274727,15898
2015,2,31.10769,,,,,,19.29012,,,3887,,,,,,,,,8288,0.0935087,0.1844836,0.2317809,0.1087114,0,0.000241313,10701
2016,2,82.45859,,,,,,54.82456,,,5171,,,,,,,,,5979,0.0909851,0.1965212,0.2502091,0.085633,0,0.007024586,18231
2017,2,75.40984,,,,,,0,,,1986,,,,,,,,,6113,0.1025683,0.1779813,0.1882873,0.0989694,0,0.001635858,10040
2018,2,50.36776,,,,,,81.30081,,,3996,,,,,,,,,6278,0.0813954,0.1925773,0.307582,0.0933418,0,0.00175215,15510
2020,2,65.32374,,,,,,0,,,1595,,,,,,,,,4385,0.0670467,0.1885975,0.3017104,0.1151653,0,0.001140251,15463
2021,2,49.56868,,,,,,0,,,2010,,,,,,,,,5913,0.0843903,0.183494,0.2851344,0.0891257,0,0.047353289,12505
2022,2,75.49081,,,,,,55.55556,,,3262,,,,,,,,,9952,0.0782757,0.193328,0.3303859,0.1075161,0,0.006732315,22772
2023,2,59.35649,,,,,,0,,,5605,,,,,,,,,5791,0.1143153,0.1628389,0.1740632,0.0937662,0,0.002590226,6519
2024,2,93.07167,,,,,,0,,,3049,,,,,,,,,7042,0.0702925,0.1904289,0.2902584,0.138313,0,0.002414087,19012
2025,2,,,,,,,0,,,,,,,,,,,,8478,,,,,0,0.009082331,11554
3001,3,66.0539,4.762434,33.33704,66.67407,144.9492,319.7942,17.95977,0,0,29339,79.5,0.5165694,20.8,2587,17140,11324,0,2.5,61591,0.0967187,0.1569385,0.2000455,0.1245799,0,0.001818448,5399
3002,3,24.87068,2.592722,20.74178,42.77992,112.7462,90.0755,8.037293,2.756795,0,55443,88.7,0.4897726,44.5,3514,27964,27132,45.3,2.4,97624,0.0994325,0.1626137,0.2385172,0.2260715,0,0.051974924,10716
3003,3,34.77553,2.75539,38.57546,61.99628,68.03252,129.3733,8.855827,0,0,41152,86.2,0.5524808,42.9,2728,22513,18575,59.1,2.8,96591,0.1707095,0.1725523,0.2359019,0.1141411,0,0.012992929,10580
3004,3,29.21829,0,26.39993,41.06656,152.3103,138.0173,10.67008,0,0,25232,91.1,0.6217825,34.1,1867,12432,13032,46.9,0.4,40216,0.0630595,0.1201263,0.2405759,0.3105729,0,0.00238711,10297
3005,3,35.83064,4.532681,49.85949,63.45753,157.5692,144.93,9.540164,5.53281,0,14317,85,0.5858407,40.3,1375,7345,6487,33.1,2.6,26554,0.1072531,0.1386985,0.2149205,0.2079913,0,0.01736085,8955
3006,3,22.92434,7.592438,7.592438,22.77731,110.2686,93.65276,10.78051,7.833307,0,11970,94.8,0.6361051,34.3,1013,5977,5537,36.4,0.4,8008,0.0661838,0.1403596,0.2623626,0.1895604,0,0.003371628,9794
3007,3,20.9282,2.38028,17.59707,34.34405,113.4139,92.8802,7.452022,2.303124,3.798526,663268,85.1,0.5319405,47.7,42917,322803,346702,86.5,3.8,2122101,0.104971,0.1864944,0.2459341,0.2012143,0.936593027,0.035010115,14970
3008,3,24.66245,0,48.36629,64.4884,102.0627,141.2061,19.77066,0,0,8096,89.1,0.5826889,42.1,515,3362,4292,58.5,0.2,93497,0.0660556,0.1346888,0.2344888,0.3371445,0,0.001454592,11933
3009,3,52.00044,1.264462,39.19833,55.63634,115.0026,190.1843,18.47404,0,0,36504,73.9,0.5083829,32.9,2934,20339,15540,32.4,2,77658,0.0905509,0.1494244,0.2186381,0.1569059,0,0.010456102,7586
3010,3,20.23236,1.996795,15.72476,33.19672,132.4561,90.30951,8.47314,2.194035,0,263546,90.2,0.5598722,51.7,16492,128908,138712,88.3,3,666880,0.115625,0.1723144,0.2432162,0.220314,0.868454595,0.031273992,13177
3011,3,38.99426,2.220298,27.75373,43.29581,144.6284,143.2946,6.099792,1.342174,26.07562,64117,80.5,0.5249727,29.4,4618,32996,29002,44,5.9,116379,0.0869659,0.1501216,0.2354463,0.2307031,0.163457325,0.031268528,9228
3012,3,35.74834,4.712979,4.712979,23.5649,122.2726,95.10094,0,4.746085,0,10776,93.4,0.5417464,39.7,758,5222,5490,67.4,1,29676,0.0950937,0.1468864,0.2333872,0.1807858,0,0.002224019,9007
3013,3,23.26754,2.30638,29.98293,48.43397,166.8653,114.498,12.2414,2.388117,0,29280,93.7,0.5888308,42.8,2052,11854,17173,44.5,0.5,107714,0.0694153,0.1146276,0.2393097,0.3634996,0,0.002265258,12657
3014,3,24.90828,0,29.20412,43.17131,117.4946,147.4321,6.257431,0,0,46081,88.1,0.4770324,39.7,3080,23642,23578,57.9,3.7,120739,0.1029825,0.1402447,0.1880337,0.1937071,0.585270708,0.024755878,10291.78327
4001,4,45.90302,0,19.08215,47.70537,93.26511,93.26511,12.37777,0,0,23712,85.5,0.537391,28.4,1692,10778,12447,54.3,24.6,21653,0.0719531,0.1401192,0.2487415,0.2604258,0,0.217290907,11169
4002,4,47.21237,3.842459,23.05475,42.26705,117.0129,121.3698,11.81195,5.617978,0,25166,90.2,0.5743353,25.4,1953,11697,12225,34.2,36.7,24319,0.0929314,0.1399729,0.2524775,0.23348,0,0.272667462,9696
4003,4,45.16038,0,19.09733,25.46311,141.0101,91.80873,19.31248,0,0,10688,88.5,0.6224683,30,709,3703,6311,0,0,31186,0.0560508,0.1089912,0.2183352,0.421856,0,0,10648
4004,4,39.40473,3.403502,17.01751,35.73677,110.6669,82.0676,5.185646,3.478624,0,36402,93.3,0.5898338,33.4,2407,14499,22058,36.7,0.1,97499,0.0891291,0.1497349,0.2337357,0.2798695,0.010010359,0.000892317,12274
4005,4,44.08264,0,30.93102,36.08619,170.8111,85.70521,11.79523,0,,16235,86.2,0.5140471,31.6,1068,6585,9762,40.8,0,28297,0.0854154,0.142842,0.2438068,0.2764958,0,7.07E-05,10129
4006,4,50.99333,0,18.47575,46.18938,145.6025,104.4781,0,0,0,14404,89.4,0.5722088,23.1,1063,6225,7673,48.1,35.1,11793,0.0864072,0.133469,0.2323412,0.2897482,0,0.310099211,8824
4007,4,58.79927,0,23.27205,23.27205,127.0043,97.89914,0,0,0,6063,92.9,0.6320093,20.9,486,2568,3330,0,35.2,5826,0.0847923,0.1556814,0.233608,0.2578098,0,0.24802609,9464
4008,4,45.89847,8.970219,17.94044,44.85109,184.1455,105.0977,0,9.052232,0,11391,79.6,0.4693216,29.1,753,4319,7160,0,0.1,18654,0.0799828,0.1350917,0.2555484,0.2889997,0,0.000750509,10176
4009,4,67.34337,0,36.76471,47.26891,121.4341,138.5107,14.36163,0,0,18952,84.5,0.5793735,20.4,1501,8523,9765,54,56.6,15713,0.0836887,0.1288742,0.21059,0.2510023,0,0.564946223,7452
4010,4,47.13569,0,40.72609,58.18013,109.1871,112.1183,8.649023,0,0,20957,94.2,0.6642007,30.1,1568,10003,10916,38.5,25.8,21437,0.1800159,0.1251574,0.2147689,0.2574054,0,0.229649671,9001
4011,4,49.47639,6.239471,24.95788,43.6763,166.7303,96.78832,7.940289,6.243756,,21498,80.1,0.5539236,16.9,1860,9532,11860,13.1,0,18107,0.0858232,0.1318275,0.2348263,0.3209256,0,0.000497045,9018
4012,4,57.21098,8.693384,17.38677,26.08015,115.3403,87.62283,0,8.707009,,9447,85.8,0.5495049,21.5,721,3838,5359,0,0,19411,0.0714543,0.1301324,0.2417701,0.3415074,0,5.15E-05,10039
4013,4,58.14674,0,29.97153,44.95729,118.2815,104.2481,0,0,0,7106,90.8,0.5987553,17,574,3053,3820,0,24.5,7781,0.0867498,0.1330163,0.2635908,0.2481686,0,0.136871867,9025
4014,4,46.16254,0,37.25609,46.57011,135.5883,106.1909,6.040836,0,0,26970,90.8,0.5758629,30.5,1931,12371,14154,40.3,36,25691,0.1088708,0.1477171,0.221128,0.2579113,0,0.351095715,9425
4015,4,52.21636,11.73158,35.19474,70.38949,103.1468,105.6423,0,7.363228,29.62963,15323,94.5,0.6246364,24.5,1292,6876,8443,38.9,22,19151,0.0834421,0.1470419,0.2330427,0.2630672,0,0.149861626,9126
4016,4,41.63079,0,11.74375,23.4875,108.2769,84.90196,10.69519,0,0,47960,85.4,0.549149,27.3,3769,23327,24435,45.3,3.3,68956,0.144991,0.1640901,0.2411538,0.2042897,0,0.056267765,11301
4017,4,46.09004,0,15.58069,28.04525,103.6461,79.12271,0,0,0,21743,86.5,0.5955843,23.3,1625,9285,11976,31.8,2.5,42493,0.0878733,0.1615325,0.2562304,0.2038453,0.351351987,0.006824654,9689
4018,4,63.3959,1.871678,20.58846,37.43356,92.03866,131.4838,12.6167,0,3.619516,48148,82.9,0.5512879,20.8,3812,24031,21400,40.7,58.9,49939,0.0987204,0.1665432,0.2346863,0.1816216,0.691824025,0.429283726,9334
4019,4,60.74405,0,9.472388,23.68097,124.3833,117.7495,14.38021,0,0,19765,88.6,0.6078972,19.5,1800,9421,9486,25.2,30.2,19225,0.0928479,0.1417945,0.2436411,0.2189337,0,0.249310793,8897
4020,4,57.58924,0,0,0,152.9802,121.2296,28.81014,0,0,10681,87.9,0.6093716,23.8,821,4567,5852,37,39.8,9614,0.0709382,0.1433326,0.2403786,0.2794882,0,0.384647389,9101
4021,4,59.62214,0,5.044645,10.08929,140.2574,122.5033,6.310741,0,0,21667,86.1,0.5806779,21.3,1712,9854,10142,38.5,48,16798,0.0903084,0.1424574,0.2275271,0.2225265,0,0.417728301,8428
4022,4,55.92202,0,19.5848,32.64134,137.9111,108.9787,0,0,0,15697,88.9,0.6315935,22.2,1240,7242,7707,29,33.9,17369,0.1229201,0.1462376,0.2374345,0.2153837,0,0.273245437,9114
4023,4,45.3821,2.790257,13.95128,22.32205,103.239,73.51257,0,3.095017,0,24241,85.6,0.6030138,32.1,1719,11547,12902,40.3,10.7,60006,0.1670166,0.163467,0.2364097,0.1799653,0,0.077542246,10141
4024,4,50.21872,0,49.72238,58.00945,124.6051,85.25615,52.35602,0,0,10574,87.8,0.5458052,24,778,4148,6058,0,1.2,14897,0.0923005,0.1414379,0.2421293,0.2634088,0,0.003893401,8877
4025,4,63.32052,0,13.18913,39.5674,143.2665,83.32846,0,0,,6505,92.1,0.6125281,16.6,514,2666,4069,0,0,10037,0.0687456,0.1203547,0.2410083,0.3320713,0,0.001594102,8240
